"cell.id";"longitude_cell";"latitude_cell";"-P50";"Slope";"-TLP";"LS";"Ks";"WD";"LMA";"N";"group";"per";"MAT";"MAP";"meanT_Q";"pre_dryQ";"AI"
12319;17.875;58.875;1.14495253877892;3.82431480793177;0.846645542000611;-1.10139086950452;-0.402785535725465;0.524631517185614;5.03929688308096;2.72790040142069;"NC";0.741356809217547;NA;NA;NA;NA;NA
12320;22.625;67.375;1.12599478563788;3.51217519293272;0.72869947188326;-1.47078730566492;-0.467080380378756;0.546649010513609;5.24098046890257;2.65282165383074;"NC";0.871280785519678;NA;NA;NA;NA;NA
12321;14.125;61.625;1.24310514491943;3.82834710934815;0.855981784648003;-1.10856919582655;-0.524971891397704;0.484569870091374;5.12498080496227;2.58845807747235;"NC";0.953160725596197;NA;NA;NA;NA;NA
12322;17.875;59.125;1.11059952931628;3.93099820961717;0.786493224344025;-1.05887740537239;-0.0141045613865478;0.489512695263483;4.95604568920854;2.81563954857487;"NC";0.682839236576575;NA;NA;NA;NA;NA
12323;13.375;63.375;1.21407672284051;4.07934361985529;0.850121253653333;-0.911165943091426;-0.227250130975758;0.460552086889403;4.93307790525161;2.71854163774047;"NC";0.811503753334109;NA;NA;NA;NA;NA
12324;22.875;67.625;1.13382928752986;3.59528596833817;0.741924900814441;-1.38833815102521;-0.425944534289874;0.537717945051421;5.21057226604025;2.66402470014786;"NC";0.859864214048755;NA;NA;NA;NA;NA
12325;15.125;61.375;1.15533736998482;3.52369626975877;0.761467542740159;-1.44305477219156;-0.52123785759388;0.538195128780443;5.24706273812561;2.61772068806738;"NC";0.910236989378788;NA;NA;NA;NA;NA
12326;15.875;58.125;1.10925976969357;3.82920555859469;0.757028522430249;-1.15754934679994;-0.171162604326831;0.515819242644464;5.02750850377971;2.78742986708084;"NC";0.708754557827702;NA;NA;NA;NA;NA
12327;21.875;66.875;1.160020917;3.123685638;0.741937345;-1.76489361;-0.809680997;0.565;5.365602113;2.527726647;"NC";1;NA;NA;NA;NA;NA
12328;12.375;58.125;1.1898772150985;3.70136645610485;0.803927912750484;-1.24623591950179;-0.484985640215668;0.512604737367073;5.16991794551124;2.62500633064233;"NC";0.905081580535325;NA;NA;NA;NA;NA
12329;17.375;58.875;1.13645398509538;3.6004038809162;0.761251408591282;-1.43353851040503;-0.402156465948183;0.535198843891538;5.2160032659144;2.66358416008685;"NC";0.863622597314852;NA;NA;NA;NA;NA
12330;13.625;59.375;1.17280287462348;3.35497749146278;0.763804694622818;-1.56201479156606;-0.700273334695792;0.547217879424408;5.30831010389167;2.5562155719042;"NC";0.974766916033944;NA;NA;NA;NA;NA
12331;16.625;57.875;1.02439440655633;3.88397246080012;0.694085326813971;-1.18182874200445;-0.0587008315236708;0.537550757060692;5.00898050120288;2.87528484180763;"NC";0.597147181440307;NA;NA;NA;NA;NA
12332;14.125;64.125;1.19897028190735;3.78903378460441;0.813063543104096;-1.17238263943624;-0.44208447376896;0.501784295621257;5.13586531154633;2.63646762650745;"NC";0.898175353732482;NA;NA;NA;NA;NA
12333;16.125;61.875;1.16783495845026;3.71637123819447;0.781481212223743;-1.26099977317634;-0.419993174306531;0.51800579564069;5.16218237494864;2.65884636393357;"NC";0.869510656042937;NA;NA;NA;NA;NA
12334;15.875;58.875;1.15799812550428;3.91383371773165;0.806587945804534;-1.05057137410632;-0.153668234442149;0.484754174472652;4.99720363001992;2.75820590951944;"NC";0.765815052680576;NA;NA;NA;NA;NA
12335;12.875;59.625;1.22954827280132;3.83378527328893;0.844169040884016;-1.11588823420281;-0.483861784161416;0.488422185522507;5.12041538002444;2.60964169247828;"NC";0.93048025712188;NA;NA;NA;NA;NA
12336;13.375;57.625;1.24983222640975;3.96453607627565;0.880199344121244;-0.967508323180132;-0.354061964586955;0.462330321166031;5.02052991806221;2.63457926602807;"NC";0.90334544134911;NA;NA;NA;NA;NA
