"species"	"species.orig"	"genus.orig"	"family.orig"	"P50"	"slope"	"TLP"	"Ks"	"LS"	"WD"	"LMA"	"leafN"	"group"
"55"	"Amelanchier_indet"	"Amelanchier indet"	"Amelanchier"	"Rosaceae"	1.921324674	3.498324092	0.955511445	-0.139262067	-0.635590777	0.615	3.933384887	3.075747667	"BT"
"56"	"Amelanchier_ovalis"	"Amelanchier ovalis"	"Amelanchier"	"Rosaceae"	1.921324674	3.498324092	0.955511445	-0.139262067	-0.635590777	0.615	4.076010856	3.166318574	"BT"
"57"	"Amyris_elemifera"	"Amyris elemifera"	"Amyris"	"Rutaceae"	-1.386294361	3.82166623869	0.552583367585	1.298810807155	-0.11159100717	0.975	3.9397257887625	3.242920956	"BE"
"58"	"Andira_inermis"	"Andira inermis"	"Andira"	"Fabaceae"	-0.105360516	3.838069294	0.631271777	0.991398204	-0.2598138955	0.65	4.058717385	3.471189753	"BT"
"59"	"Annona_muricata"	"Annona muricata"	"Annona"	"Annonaceae"	0.827045766825001	2.528830553465	0.518793793	0.518353674374999	-0.383153878185	0.36	4.311201729	3.099641737	"BE"
"60"	"Annona_reticulata"	"Annona reticulata"	"Annona"	"Annonaceae"	0.815113770340001	2.61969217982	0.518793793	0.472833708814999	-0.440594721635	0.525	4.311201729	3.099641737	"BD"
"61"	"Apollonias_barbujana"	"Apollonias barbujana"	"Apollonias"	"Lauraceae"	0.3661238475	3.231989464	0.993251773	0.466873736	-0.186329578	0.54	4.441238494	2.543175558	"BE"
"62"	"Arbutus_arizonica"	"Arbutus arizonica"	"Arbutus"	"Ericaceae"	0.680568398	3.080073422	0.711795073	-0.616186139	-1.612893877	0.665	4.7098951685	2.516889696	"BT"
"63"	"Arbutus_canariensis"	"Arbutus canariensis"	"Arbutus"	"Ericaceae"	0.680568398	3.080073422	0.711795073	-0.616186139	-1.612893877	0.665	4.7098951685	2.516889696	"BE"
"64"	"Arbutus_menziesii"	"Arbutus menziesii"	"Arbutus"	"Ericaceae"	0.680568398	3.080073422	0.875468737	-0.616186139	-1.612893877	0.56	5.042650624	2.451005098	"BE"
"65"	"Arbutus_unedo"	"Arbutus unedo"	"Arbutus"	"Ericaceae"	0.680568398	3.080073422	0.548121409	-0.616186139	-1.612893877	0.77	4.377139713	2.595254707	"BE"
"66"	"Ardisia_obovata"	"Ardisia obovata"	"Ardisia"	"Primulaceae"	1.000074650255	3.516390750965	0.880771138725	0.365810290655	-0.75567207243	0.7248	4.45700947744	2.228938553	"BE"
