"species.orig"	"genus.orig"	"family.orig"	"P50"	"slope"	"TLP"	"LS"	"Ks"	"WD"	"LMA"	"leafN"	"group"
"54"	"Amelanchier arborea"	"Amelanchier"	"Rosaceae"	1.921324674	3.498324092	0.955511445	-0.635590777	-0.139262067	0.59	3.790758918	2.98517676	"BD"
"55"	"Amelanchier indet"	"Amelanchier"	"Rosaceae"	1.921324674	3.498324092	0.955511445	-0.635590777	-0.139262067	0.59	3.933384887	3.075747667	"BD"
"56"	"Amelanchier ovalis"	"Amelanchier"	"Rosaceae"	1.921324674	3.498324092	0.955511445	-0.635590777	-0.139262067	0.59	4.076010856	3.166318574	"BD"
"57"	"Amyris balsamifera"	"Amyris"	"Rutaceae"	-1.1268974645	3.88673869222	0.554598907095	-0.032716503645	1.476996635045	0.9	4.01932106848	3.532225644	"BE"
"58"	"Amyris elemifera"	"Amyris"	"Rutaceae"	-1.1268974645	3.884411931355	0.554598907095	-0.032716503645	1.476996635045	0.975	4.0230959447	3.532225644	"BE"
"59"	"Andira inermis"	"Andira"	"Fabaceae"	0.479334957	3.7193365675	0.631271777	-0.2598138955	0.991398204	0.65	4.058717385	3.471189753	"BD"
"60"	"Annona glabra"	"Annona"	"Annonaceae"	1.193922468	2.895911938	0.518793793	-1.245298398	2.208274414	0.5	4.311201729	2.9950067475	"BE"
"61"	"Annona muricata"	"Annona"	"Annonaceae"	1.193922468	2.895911938	0.518793793	-1.245298398	2.208274414	0.36	4.311201729	2.9950067475	"BE"
"62"	"Annona reticulata"	"Annona"	"Annonaceae"	1.193922468	2.895911938	0.518793793	-1.245298398	2.208274414	0.525	4.311201729	2.9950067475	"BD"
"63"	"Antirhea acutata"	"Antirhea"	"Rubiaceae"	0.845868268	2.171906769	0.625938431	-0.145025772	0.804241228	0.635	4.026779243	2.957511061	"BE"
"64"	"Antirhea obtusifolia"	"Antirhea"	"Rubiaceae"	0.845868268	2.171906769	0.625938431	-0.145025772	0.804241228	0.635	4.026779243	2.957511061	"BE"
"65"	"Apollonias barbujana"	"Apollonias"	"Lauraceae"	0.3661238475	3.231989464	0.993251773	-0.186329578	0.466873736	0.54	4.441238494	2.543175558	"BE"
"66"	"Arbutus arizonica"	"Arbutus"	"Ericaceae"	0.680568398	3.080073422	0.711795073	-1.612893877	-0.616186139	0.665	4.7098951685	2.516889696	"BD"
"67"	"Arbutus canariensis"	"Arbutus"	"Ericaceae"	0.680568398	3.080073422	0.711795073	-1.612893877	-0.616186139	0.665	4.7098951685	2.516889696	"BE"
"68"	"Arbutus menziesii"	"Arbutus"	"Ericaceae"	0.680568398	3.080073422	0.875468737	-1.612893877	-0.616186139	0.56	5.042650624	2.451005098	"BE"
"69"	"Arbutus unedo"	"Arbutus"	"Ericaceae"	0.680568398	3.080073422	0.548121409	-1.612893877	-0.616186139	0.77	4.377139713	2.595254707	"BE"
"70"	"Ardisia obovata"	"Ardisia"	"Primulaceae"	0.980004900135	3.361145103435	0.819564404445	-0.51450236594	0.37269047406	0.673074999999999	4.154890213405	2.228938553	"BE"
